Dates,Winner
01/18/14,0
01/21/14,0
01/24/14,0.5
01/27/14,0
01/30/14,0
02/05/14,0
02/09/14,0
02/13/14,0.5
02/18/14,0.5
03/15/16,0
09/22/16,1
09/26/16,1
09/30/16,1
10/03/16,1
10/08/16,1
10/11/16,1
10/16/16,1
10/20/16,0
10/23/16,1
10/26/16,0
10/29/16,1
05/28/17,1
10/22/17,0
10/25/17,1
10/29/17,1
11/01/17,1
11/04/17,0
11/07/17,1
01/22/19,1
01/25/19,1
01/27/19,1
01/30/19,0
02/02/19,1
02/06/19,0
02/08/19,1
02/10/19,0
05/25/19,0
07/09/19,0
01/24/20,1
01/26/20,1
02/02/20,1
02/04/20,0
02/07/20,0
02/10/20,0
02/20/20,0
02/24/20,0
02/28/20,0
03/02/20,0
06/18/21,0
06/23/21,0
10/31/21,0
11/17/21,1
11/19/21,1
11/21/21,1
11/24/21,0.5
11/29/21,0.5
12/02/21,1
12/07/21,1
